,name,Playlist,Predicted Playlist
0,the perfect pair,calm sigh,chill
1,Sunny day,calm sigh,chill
2,Get You (feat. Kali Uchis),calm sigh,chill
3,Please Do Not Lean (feat. BADBADNOTGOOD) - Bonus,calm sigh,chill
4,LOVE AGAIN,calm sigh,chill
5,Loose,calm sigh,chill
6,Infrunami,calm sigh,chill
7,N Side,calm sigh,chill
8,Sofia,calm sigh,chill
9,Bubble Gum,calm sigh,chill
10,Bags,calm sigh,chill
11,over u,calm sigh,chill
12,Ultralight Beam,calm sigh,chill
13,FourFiveSeconds,calm sigh,chill
14,The Color Violet,calm sigh,chill
15,Kevin’s Heart,calm sigh,chill
16,Change,calm sigh,chill
17,Sure Thing,calm sigh,chill
18,Mia & Sebastian’s Theme,calm sigh,chill
19,Chanel,calm sigh,chill
20,Pink + White,calm sigh,chill
21,ARE YOU OK?,calm sigh,chill
22,Godspeed,calm sigh,chill
23,Sweater Weather,calm sigh,chill
24,Sex on Fire,calm sigh,chill
25,A Lonely Night,calm sigh,chill
26,Sparks,calm sigh,chill
27,Same Drugs,calm sigh,chill
28,SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),calm sigh,chill
29,November,calm sigh,chill
30,Ribs,calm sigh,chill
31,A World Alone,calm sigh,chill
32,Skinny Love,calm sigh,chill
33,Sweatpants,calm sigh,chill
34,comethru,calm sigh,chill
35,Pluto Projector,calm sigh,chill
36,Home,calm sigh,chill
37,Use Somebody,calm sigh,chill
38,Rivers and Roads,calm sigh,chill
39,Lovesong,calm sigh,chill
40,broken cd,calm sigh,chill
41,Falling for U,calm sigh,chill
42,It Will Rain,calm sigh,chill
0,Family Business,chill,chill
1,Flashing Lights,chill,chill
2,Pink + White,chill,chill
3,January 28th,chill,chill
4,Loose,chill,chill
5,Summer Friends (feat. Jeremih & Francis & The Lights),chill,chill
6,Sundress,chill,chill
7,I Feel It Coming,chill,chill
8,Boredom (feat. Rex Orange County & Anna of the North),chill,chill
9,FAMJAM4000,chill,chill
10,Amphetamine,chill,chill
11,Ninety,chill,chill
12,Skinny Love,chill,chill
13,Cocoa Butter Kisses,chill,chill
14,"Finish Line / Drown (feat. T-Pain, Kirk Franklin, Eryn Allen Kane & Noname)",chill,chill
15,Sweatpants,chill,chill
16,Borderline,chill,chill
17,Television / So Far So Good,chill,chill
18,Waves,chill,chill
19,Jungle,chill,chill
20,So Good,chill,chill
21,Apparently,chill,chill
22,Wild Irish Roses,chill,chill
23,Super Rich Kids,chill,chill
24,Sunny day,chill,chill
25,Don’t get the deal,chill,chill
26,Bossa No Sé (feat. Jean Carter),chill,chill
0,I LIKE,night,chill
1,Ballad of a Badman,night,chill
2,Use This Gospel,night,chill
3,Reborn,night,chill
4,Ghost Town,night,chill
5,16,night,chill
6,Photograph,night,chill
7,Power Trip (feat. Miguel),night,chill
8,Ville Mentality,night,chill
9,Stand Tall,night,chill
10,The Color Violet,night,chill
11,Ninety,night,chill
12,Nikes,night,chill
13,Self Control,night,chill
14,Nights,night,chill
15,Summer Friends (feat. Jeremih & Francis & The Lights),night,chill
16,Cudi Zone,night,chill
17,Umbrella,night,chill
18,Pompeii,night,chill
19,Out of Time,night,chill
20,Yellow,night,chill
21,ball w/o you,night,chill
22,Juke Jam (feat. Justin Bieber & Towkio),night,chill
23,Ribs,night,chill
24,16,night,chill
25,All The Stars (with SZA),night,chill
26,Feel No Ways,night,chill
27,Jungle,night,chill
28,Exchange,night,chill
29,Come and See Me (feat. Drake),night,chill
30,MY EYES,night,chill
31,It Will Rain,night,chill
0,19.10,chills,chill
1,Divine Failure,chills,chill
2,Location,chills,chill
3,No Child Left Behind,chills,chill
4,Reborn,chills,chill
5,Ghost Town,chills,chill
6,Blood On The Leaves,chills,chill
7,Lost In The World,chills,chill
8,January 28th,chills,chill
9,Me and Your Mama,chills,chill
10,‘87 Stingray,chills,chill
11,Ninety,chills,chill
12,Pyramids,chills,chill
13,Bad Religion,chills,chill
14,Nikes,chills,chill
15,White Ferrari,chills,chill
16,90210 (feat. Kacy Hill),chills,chill
17,The Morning,chills,chill
18,Closer,chills,chill
19,"New Person, Same Old Mistakes",chills,chill
20,Let It Happen,chills,chill
21,Little Dark Age,chills,chill
22,SKELETONS,chills,chill
23,Heroes - 2017 Remaster,chills,chill
24,MY EYES,chills,chill
0,r - Cali,car,chill
1,Lifestyle,car,chill
2,5unna,car,chill
3,Hellcats & Trackhawks,car,chill
4,Stop Breathing,car,chill
5,Top (feat. Pi'erre Bourne),car,chill
6,wokeuplikethis*,car,chill
7,New Choppa,car,chill
8,Ni**as In Paris,car,chill
9,No Role Modelz,car,chill
10,Off Da Zoinkys,car,chill
11,Surround Sound (feat. 21 Savage & Baby Tate),car,chill
12,151 Rum,car,chill
13,STATS,car,chill
14,Alright,car,chill
15,Neon Guts (feat. Pharrell Williams),car,chill
16,King Kunta,car,chill
17,Shoota (feat. Lil Uzi Vert),car,chill
18,Yale,car,chill
19,Flawlëss (feat. Lil Uzi Vert),car,chill
20,Yessirskiii,car,chill
21,Semi On Em,car,chill
22,3 Headed Goat (feat. Lil Baby & Polo G),car,chill
23,Backseat Freestyle,car,chill
24,So Good,car,chill
25,OG Beeper,car,chill
26,Multiply (feat. Juicy J),car,chill
27,A$AP Forever (feat. Moby),car,chill
28,MELTDOWN (feat. Drake),car,chill
0,Losing It,dance,chill
1,Stop It,dance,chill
2,"World, Hold On - FISHER Rework",dance,chill
3,Dani Girl Pumping It - MOOEY DECK REMIX,dance,chill
4,dashstar*,dance,chill
5,Everything You Have Done - Meduza Edit,dance,chill
6,Heads Will Roll - A-Trak Remix Radio Edit,dance,chill
7,Doses & Mimosas,dance,chill
8,Levels - Original Version,dance,chill
9,Memories (feat. Kid Cudi),dance,chill
10,Make U SWEAT!,dance,chill
11,What's the Move (feat. General Degree),dance,chill
12,Need It,dance,chill
13,Voices,dance,chill
14,White Noise,dance,chill
15,San Frandisco,dance,chill
16,Hooked,dance,chill
17,I Was Lovin' You (feat. Dots Per Inch & Ayak) - TS7 Remix,dance,chill
18,Baby again..,dance,chill
19,Leave Me Like This,dance,chill
0,Little Dark Age,spiral,chill
1,Good Looking,spiral,chill
2,My Tears Are Becoming A Sea,spiral,chill
3,Paranoid,spiral,chill
4,HONEST,spiral,chill
5,Chamber Of Reflection,spiral,chill
6,Heart To Heart,spiral,chill
7,Sure Thing,spiral,chill
8,A Lonely Night,spiral,chill
9,White Ferrari,spiral,chill
10,"GONE, GONE / THANK YOU",spiral,chill
11,ARE WE STILL FRIENDS?,spiral,chill
12,Float On,spiral,chill
13,Kill Bill,spiral,chill
14,Why'd You Only Call Me When You're High?,spiral,chill
15,Somewhere Only We Know,spiral,chill
16,Say It Ain't So - Recorded At Spotify Studios NYC,spiral,chill
17,For the First Time,spiral,chill
18,over u,spiral,chill
19,505,spiral,chill
20,Replay,spiral,chill
21,Hurts Me,spiral,chill
22,Cologne,spiral,chill
23,MY EYES,spiral,chill
24,When I Was Your Man,spiral,chill
0,Lifestyle,high energy,chill
1,5unna,high energy,chill
2,I Serve the Base,high energy,chill
3,Hellcats & Trackhawks,high energy,chill
4,ESPN,high energy,chill
5,Lean 4 Real (feat. Skepta),high energy,chill
6,Stop Breathing,high energy,chill
7,R.I.P.,high energy,chill
8,New Choppa,high energy,chill
9,Lame Niggaz,high energy,chill
10,4th Dimension,high energy,chill
11,Ni**as In Paris,high energy,chill
12,All Of The Lights,high energy,chill
13,Can't Tell Me Nothing,high energy,chill
14,Steppa Pig,high energy,chill
15,New Tank,high energy,chill
16,10 Freaky Girls (with 21 Savage),high energy,chill
17,I <3 My Choppa,high energy,chill
18,Money Longer,high energy,chill
19,Live Sheck Wes,high energy,chill
20,6 Foot 7 Foot,high energy,chill
21,Wonderful Wayne & Jackie Boy,high energy,chill
22,Flawlëss (feat. Lil Uzi Vert),high energy,chill
23,Gët Busy,high energy,chill
24,On the Regular,high energy,chill
25,AHHH HA,high energy,chill
26,Wins & Losses,high energy,chill
27,"14,400 Minutes",high energy,chill
28,Hollywood's Bleeding,high energy,chill
29,Survival Tactics,high energy,chill
30,"T.D (Lil Yachty & Tierra Whack feat. A$AP Rocky & Tyler, The Creator)",high energy,chill
31,Freestyle 2,high energy,chill
32,Ima Boss (feat. Rick Ross),high energy,chill
33,FE!N (feat. Playboi Carti),high energy,chill
0,wokeuplikethis*,rap energy,chill
1,Ni**as In Paris,rap energy,chill
2,Homecoming,rap energy,chill
3,Touch The Sky,rap energy,chill
4,All Falls Down,rap energy,chill
5,She Knows (feat. Amber Coffman & Cults),rap energy,chill
6,Wet Dreamz,rap energy,chill
7,No Role Modelz,rap energy,chill
8,2007,rap energy,chill
9,Raydar,rap energy,chill
10,trademark usa,rap energy,chill
11,STATS,rap energy,chill
12,Super Rich Kids,rap energy,chill
13,90210 (feat. Kacy Hill),rap energy,chill
14,Dreams and Nightmares,rap energy,chill
15,Alright,rap energy,chill
16,King Kunta,rap energy,chill
17,I <3 My Choppa,rap energy,chill
18,Money Longer,rap energy,chill
19,BookBag 2.0 (feat. Polo G),rap energy,chill
20,Love Sosa,rap energy,chill
21,Starships,rap energy,chill
22,3 Headed Goat (feat. Lil Baby & Polo G),rap energy,chill
23,911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),rap energy,chill
24,Yessirskiii,rap energy,chill
25,TEAM,rap energy,chill
26,Backseat Freestyle,rap energy,chill
27,Capo,rap energy,chill
28,A$AP Forever (feat. Moby),rap energy,chill
29,MELTDOWN (feat. Drake),rap energy,chill
0,RIP Roach,rage,chill
1,Lifestyle,rage,chill
2,I Serve the Base,rage,chill
3,Take A Step Back (feat. Ski Mask The Slump God),rage,chill
4,10 Freaky Girls (with 21 Savage),rage,chill
5,I <3 My Choppa,rage,chill
6,MURDAMAN! (feat. Chief Keef),rage,chill
7,"Crazy Story, Pt. 3",rage,chill
8,ball w/o you,rage,chill
9,Hellcats & Trackhawks,rage,chill
10,Twirlanta,rage,chill
11,AHHH HA,rage,chill
12,On the Regular,rage,chill
13,Real Oppy (feat. G Herbo),rage,chill
14,OG Beeper,rage,chill
15,Chromosomes,rage,chill
0,Promiscuous,tb1,chill
1,The Show Goes On,tb1,chill
2,Classic,tb1,chill
3,Umbrella,tb1,chill
4,We Are Young (feat. Janelle Monáe),tb1,chill
5,Die Young,tb1,chill
6,Last Friday Night (T.G.I.F.),tb1,chill
7,Dynamite,tb1,chill
8,Eenie Meenie - Radio Version,tb1,chill
9,What Makes You Beautiful,tb1,chill
10,"Young, Wild & Free (feat. Bruno Mars)",tb1,chill
11,"Hey, Soul Sister",tb1,chill
12,Some Nights,tb1,chill
13,Want to Want Me,tb1,chill
14,Beauty And A Beat,tb1,chill
15,Love You Like A Love Song,tb1,chill
16,Whatcha Say,tb1,chill
17,Rude,tb1,chill
18,Drive By,tb1,chill
19,Good Time,tb1,chill
20,Everybody Talks,tb1,chill
21,Latch,tb1,chill
22,Ain't It Fun,tb1,chill
23,Burnin' Up,tb1,chill
0,All Night Longer,tb2,chill
1,Sexy Chick (feat. Akon),tb2,chill
2,Sorry For Party Rocking,tb2,chill
3,Don't You Worry Child - Radio Edit,tb2,chill
4,Summer,tb2,chill
5,The Nights,tb2,chill
6,Safe And Sound,tb2,chill
7,Where Them Girls At (feat. Nicki Minaj & Flo Rida),tb2,chill
8,Magic (feat. Rivers Cuomo),tb2,chill
9,In Da Club,tb2,chill
10,SOS,tb2,chill
11,We Are Young (feat. Janelle Monáe),tb2,chill
12,She Looks So Perfect,tb2,chill
13,Tonight Tonight,tb2,chill
14,Dynamite,tb2,chill
15,Treasure,tb2,chill
16,"Young, Wild & Free (feat. Bruno Mars)",tb2,chill
17,Beauty And A Beat,tb2,chill
18,Gimme! Gimme! Gimme! (A Man After Midnight),tb2,chill
19,Lay All Your Love On Me,tb2,chill
20,Yeah 3x,tb2,chill
